fromid,toid,dist
110000,610800,817.38
110000,610900,1311.8
110000,611000,1197.43
110000,620100,1471.27
110000,620200,1906.73
110000,620300,1615.8
110000,620400,1360.4
110000,620500,1446.64
110000,620600,1520.04
110000,620700,1740.05
110000,620800,1372.43
110000,620900,2085.51
110000,621000,1193.2
110000,621100,1609.17
110000,621200,1529.9
110000,630100,1703.54
110000,640100,1134.45
110000,640200,1018.04
110000,640300,1124.07
110000,640400,1367.87
110000,650100,2805.18
110000,650200,3093.8
120000,110000,152.24
120000,120000,0.0
120000,130100,316.95
120000,130200,130.03
120000,130300,231.34
120000,130400,480.65
120000,130500,387.07
120000,130600,212.6
120000,130700,343.49
120000,130800,344.06
120000,130900,152.82
120000,131000,76.31
120000,131100,280.97
120000,140100,559.43
120000,140200,415.93
120000,140300,416.81
120000,140400,632.93
120000,140500,731.33
120000,140600,473.64
120000,140700,574.12
120000,140800,870.09
120000,140900,495.99
120000,141000,753.87
120000,141100,677.22
120000,150100,648.46
120000,150200,779.31
120000,150300,1041.28
120000,150400,617.47
120000,150500,809.19
120000,150600,909.39
120000,150700,1658.64
120000,150800,1051.02
120000,150900,601.98
120000,210100,669.7
120000,210200,741.12
120000,210300,621.35
120000,210400,781.16
120000,210500,780.75
120000,210600,822.66
120000,210700,511.93
120000,210800,632.22
120000,210900,608.31
120000,211000,639.58
120000,211100,521.62
120000,211200,770.12
120000,211300,514.85
120000,211400,375.3
120000,220100,1008.47
120000,220200,1107.6
120000,220300,894.68
120000,220400,881.24
120000,220500,933.97
120000,220600,1066.29
120000,220700,1008.17
120000,220800,1066.01
120000,230100,1313.89
120000,230200,1391.29
120000,230300,1686.54
120000,230400,1673.74
120000,230500,1762.81
120000,230600,1207.99
120000,230700,1576.12
120000,230800,1731.08
120000,230900,1607.85
120000,231000,1417.79
120000,231100,1695.61
120000,231200,1350.52
120000,310000,1136.01
120000,320100,959.37
120000,320200,1004.67
120000,320300,633.6
120000,320400,1006.15
120000,320500,1055.14
120000,320600,985.0
120000,320700,648.65
120000,320800,781.23
120000,320900,807.52
120000,321000,845.89
120000,321100,950.02
120000,321200,924.86
120000,321300,708.43
120000,330100,1215.4
120000,330200,1276.24
120000,330300,1526.9
120000,330400,1140.01
120000,330500,1124.89
120000,330600,1256.26
120000,330700,1343.74
120000,330800,1339.22
120000,330900,1310.27
120000,331000,1381.31
120000,331100,1504.68
120000,340100,978.59
120000,340200,1037.63
120000,340300,818.76
120000,340400,890.74
120000,340500,986.31
120000,340600,737.86
120000,340700,1090.92
120000,340800,1109.0
120000,341000,1211.69
120000,341100,870.88
120000,341200,829.12
120000,341300,698.99
120000,341500,968.22
120000,341600,788.62
120000,341700,1163.08
120000,341800,1124.58
120000,350100,1774.63
120000,350200,1951.36
120000,350300,1899.97
120000,350400,1726.54
120000,350500,1896.87
120000,350600,1999.62
