id,lon,lat
110000,116.405285,39.904989
120000,117.190182,39.125596
130100,114.502461,38.045474
130200,118.175393,39.635113
130300,119.586579,39.942531
130400,114.490686,36.612273
130500,114.508851,37.0682
130600,115.482331,38.867657
130700,114.884091,40.811901
130800,117.939152,40.976204
130900,116.857461,38.310582
131000,116.713873,39.529244
131100,115.665993,37.735097
140100,112.549248,37.857014
140200,113.295259,40.09031
140300,113.583285,37.861188
140400,113.113556,36.191112
140500,112.851274,35.497553
140600,112.433387,39.331261
140700,112.736465,37.696495
140800,111.003957,35.022778
140900,112.733538,38.41769
141000,111.517973,36.08415
141100,111.134335,37.524366
150100,111.670801,40.818311
150200,109.840405,40.658168
150300,106.825563,39.673734
150400,118.956806,42.275317
150500,122.263119,43.617429
150600,109.99029,39.817179
150700,119.758168,49.215333
150800,107.416959,40.757402
150900,113.114543,41.034126
210100,123.429096,41.796767
210200,121.618622,38.91459
210300,122.995632,41.110626
210400,123.921109,41.875956
210500,123.770519,41.297909
210600,124.383044,40.124296
210700,121.135742,41.119269
210800,122.235151,40.667432
210900,121.648962,42.011796
211000,123.18152,41.269402
211100,122.06957,41.124484
211200,123.844279,42.290585
211300,120.451176,41.576758
211400,120.856394,40.755572
220100,125.3245,43.886841
220200,126.55302,43.843577
220300,124.370785,43.170344
220400,125.145349,42.902692
220500,125.936501,41.721177
220600,126.427839,41.942505
220700,124.823608,45.118243
220800,122.841114,45.619026
230100,126.642464,45.756967
230200,123.953486,47.348079
230300,130.975966,45.300046
230400,130.277487,47.332085
230500,131.157304,46.643442
230600,125.11272,46.590734
230700,128.899396,47.724775
230800,130.361634,46.809606
230900,131.015584,45.771266
231000,129.618602,44.582962
231100,127.499023,50.249585
231200,126.99293,46.637393
310000,121.472644,31.231706
320100,118.767413,32.041544
320200,120.301663,31.574729
320300,117.184811,34.261792
320400,119.946973,31.772752
320500,120.619585,31.299379
320600,120.864608,32.016212
320700,119.178821,34.600018
320800,119.021265,33.597506
320900,120.139998,33.377631
321000,119.421003,32.393159
321100,119.452753,32.204402
321200,119.915176,32.484882
321300,118.293328,33.945154
330100,120.153576,30.287459
330200,121.549792,29.868388
330300,120.672111,28.000575
330400,120.750865,30.762653
330500,120.102398,30.867198
330600,120.582112,29.997117
330700,119.649506,29.089524
330800,118.87263,28.941708
330900,122.106863,30.016028
331000,121.428599,28.661378
331100,119.921786,28.451993
340100,117.283042,31.86119
340200,118.376451,31.326319
340300,117.36237,32.934037
340400,117.025449,32.645947
340500,118.507906,31.689362
340600,116.794664,33.971707
340700,117.816576,30.929935
340800,117.053571,30.524816
341000,118.317325,29.709239
341100,118.316264,32.303627
341200,115.819729,32.896969
341300,116.984084,33.633891
341500,116.507676,31.752889
341600,115.782939,33.869338
341700,117.489157,30.656037
341800,118.757995,30.945667
350100,119.306239,26.075302
350200,118.11022,24.490474
350300,119.007558,25.431011
350400,117.635001,26.265444
350500,118.589421,24.908853
350600,117.661801,24.510897
350700,118.178459,26.635627
350800,117.02978,25.091603
350900,119.527082,26.65924
360100,115.892151,28.676493
360200,117.214664,29.29256
360300,113.852186,27.622946
360400,115.992811,29.712034
360500,114.930835,27.810834
360600,117.033838,28.238638
360700,114.940278,25.85097
360800,114.986373,27.111699
360900,114.391136,27.8043
361000,116.358351,27.98385
361100,117.971185,28.44442
370100,117.000923,36.675807
370200,120.369557,36.094406
370300,118.047648,36.814939
370400,117.557964,34.856424
370500,118.4963,37.461266
370600,121.391382,37.539297
370700,119.107078,36.70925
370800,116.587245,35.415393
370900,117.129063,36.194968
371000,122.116394,37.509691
371100,119.461208,35.428588
371300,118.326443,35.065282
371400,116.307428,37.453968
371500,115.980367,36.456013
371600,118.016974,37.383542
371700,115.469381,35.246531
410100,113.665412,34.757975
410200,114.341447,34.797049
410300,112.434468,34.663041
410400,113.307718,33.735241
