,(1),(2),(3)
,entreact,entreact,entreact
did,0.275***,0.267***,0.275***
,"[0.116,0.434]","[0.111,0.423]","[0.116,0.433]"
gdp,0.581***,0.558***,0.560***
,"[0.368,0.795]","[0.347,0.770]","[0.347,0.772]"
fin,0.057,0.055,0.052
,"[-0.071,0.185]","[-0.073,0.183]","[-0.075,0.180]"
stru,-0.848**,-0.792**,-0.783**
,"[-1.600,-0.096]","[-1.528,-0.056]","[-1.516,-0.049]"
wage,-0.265*,-0.243*,-0.237
,"[-0.557,0.027]","[-0.528,0.043]","[-0.524,0.049]"
gov,-0.039,-0.041*,-0.041*
,"[-0.088,0.009]","[-0.087,0.005]","[-0.087,0.005]"
human,0.099***,0.100***,0.099***
,"[0.035,0.164]","[0.036,0.165]","[0.035,0.163]"
pubservice,0.226,0.216,0.225
,"[-0.081,0.532]","[-0.086,0.519]","[-0.078,0.528]"
_cons,-5.900**,-5.780**,-5.962**
,"[-10.838,-0.962]","[-10.666,-0.895]","[-10.878,-1.047]"
N,4226,4241,4263
r2_a,0.747,0.742,0.746
