,(1),(2),(3),(4)
,Phase One,Phase Two,Phase One,Phase Two
did,,4.583***,,2.063***
,,"[2.609,6.558]",,"[0.612,3.513]"
iv_hl,0.024***,,,
,"[0.011,0.036]",,,
iv_sy,,,0.003***,
,,,"[0.002,0.004]",
gdp,0.080***,0.380***,0.122***,0.643***
,"[0.052,0.107]","[0.152,0.608]","[0.086,0.159]","[0.419,0.868]"
fin,-0.007,0.455***,-0.053***,0.454***
,"[-0.032,0.019]","[0.318,0.592]","[-0.084,-0.021]","[0.316,0.591]"
stru,0.225***,-0.499,0.286***,0.722**
,"[0.138,0.313]","[-1.168,0.171]","[0.167,0.405]","[0.099,1.344]"
wage,0.042***,-0.008,0.055***,0.092
,"[0.011,0.074]","[-0.206,0.190]","[0.019,0.092]","[-0.090,0.275]"
gov,0.000,0.032***,0.008**,0.031**
,"[-0.004,0.005]","[0.010,0.055]","[0.001,0.014]","[0.007,0.055]"
human,0.002,0.035**,0.009**,0.028*
,"[-0.004,0.009]","[0.000,0.070]","[0.001,0.017]","[-0.000,0.056]"
pubservice,0.021,-0.887***,-0.008,-0.881***
,"[-0.005,0.047]","[-1.028,-0.747]","[-0.045,0.029]","[-1.000,-0.761]"
_cons,-2.419***,3.583,-3.122***,-4.441
,"[-2.789,-2.049]","[-2.418,9.584]","[-3.493,-2.751]","[-9.764,0.882]"
N,4544,4544,3456,3456
r2,0.209,-,0.224,-
