,(1),(2),(3),(4)
,manufacturing,service,produserv,consumserv
did,0.005,0.207***,0.119***,0.088***
,"[-0.008,0.017]","[0.115,0.299]","[0.064,0.175]","[0.036,0.139]"
gdp,0.013**,0.342***,0.120***,0.222***
,"[0.003,0.024]","[0.215,0.469]","[0.056,0.184]","[0.139,0.305]"
fin,-0.002,0.108**,0.037,0.071**
,"[-0.010,0.006]","[0.011,0.206]","[-0.013,0.087]","[0.011,0.132]"
stru,-0.004,-0.563**,-0.558***,-0.005
,"[-0.046,0.038]","[-1.037,-0.089]","[-0.810,-0.306]","[-0.285,0.275]"
wage,-0.002,-0.198**,-0.088*,-0.110*
,"[-0.023,0.018]","[-0.378,-0.018]","[-0.182,0.006]","[-0.232,0.012]"
gov,-0.001,-0.024**,-0.006,-0.018**
,"[-0.003,0.001]","[-0.048,-0.001]","[-0.017,0.004]","[-0.034,-0.002]"
human,-0.001,0.050**,0.025**,0.025**
,"[-0.005,0.004]","[0.010,0.090]","[0.004,0.047]","[0.003,0.047]"
pubservice,-0.001,0.130,0.116**,0.014
,"[-0.016,0.015]","[-0.043,0.303]","[0.013,0.220]","[-0.087,0.114]"
_cons,-0.104,-2.616*,-0.757,-1.859**
,"[-0.354,0.145]","[-5.677,0.444]","[-2.614,1.100]","[-3.657,-0.062]"
N,4544,4544,4544,4544
r2_a,0.806,0.816,0.696,0.818
