,(1),(2),(3),(4)
,entreact,entreact,entreact,entreact
gdp,0.585***,0.585***,0.585***,0.585***
,"[0.461,0.710]","[0.356,0.815]","[0.358,0.812]","[0.276,0.894]"
fin,0.117***,0.117,0.117**,0.117
,"[0.030,0.205]","[-0.047,0.281]","[0.002,0.232]","[-0.075,0.309]"
stru,-0.804***,-0.804**,-0.804***,-0.804*
,"[-1.222,-0.386]","[-1.562,-0.047]","[-1.324,-0.284]","[-1.677,0.068]"
wage,-0.237**,-0.237*,-0.237*,-0.237
,"[-0.430,-0.044]","[-0.512,0.038]","[-0.487,0.013]","[-0.567,0.092]"
gov,-0.025**,-0.025,-0.025,-0.025
,"[-0.046,-0.004]","[-0.062,0.012]","[-0.077,0.026]","[-0.086,0.035]"
human,0.102***,0.102***,0.102***,0.102**
,"[0.064,0.140]","[0.038,0.165]","[0.050,0.153]","[0.026,0.177]"
pubservice,0.215**,0.215,0.215***,0.215
,"[0.029,0.402]","[-0.077,0.508]","[0.085,0.346]","[-0.070,0.500]"
pre5,-0.081,-0.081,-0.081,-0.081
,"[-0.209,0.047]","[-0.233,0.071]","[-0.199,0.036]","[-0.230,0.068]"
pre4,-0.082,-0.082,-0.082,-0.082
,"[-0.228,0.064]","[-0.209,0.045]","[-0.254,0.091]","[-0.237,0.073]"
pre3,-0.053,-0.053,-0.053,-0.053
,"[-0.219,0.113]","[-0.205,0.099]","[-0.224,0.118]","[-0.211,0.104]"
pre2,0.006,0.006,0.006,0.006
,"[-0.174,0.186]","[-0.155,0.167]","[-0.184,0.195]","[-0.162,0.173]"
current,0.057,0.057,0.057,0.057
,"[-0.089,0.203]","[-0.037,0.150]","[-0.113,0.227]","[-0.065,0.179]"
post1,0.183**,0.183**,0.183*,0.183*
,"[0.002,0.364]","[0.005,0.361]","[-0.037,0.403]","[-0.037,0.403]"
post2,0.225**,0.225**,0.225***,0.225**
,"[0.025,0.425]","[0.004,0.446]","[0.104,0.347]","[0.047,0.403]"
post3,0.306***,0.306**,0.306***,0.306***
,"[0.081,0.531]","[0.066,0.546]","[0.173,0.439]","[0.132,0.480]"
post4,0.283***,0.283**,0.283*,0.283*
,"[0.101,0.465]","[0.065,0.502]","[-0.014,0.581]","[-0.039,0.606]"
post5,0.373***,0.373***,0.373***,0.373***
,"[0.226,0.520]","[0.148,0.598]","[0.210,0.536]","[0.123,0.622]"
_cons,-6.586***,-6.586***,-6.586***,-6.586**
,"[-9.164,-4.008]","[-11.387,-1.785]","[-9.967,-3.205]","[-12.201,-0.971]"
N,4544,4544,4544,4544
r2_a,0.748,0.748,0.748,0.748
