,(1),(2),(3),(4)
,entreact,entreact,entreact,entreact
did,0.090,0.257**,-0.137,0.260***
,"[-0.139,0.319]","[0.036,0.478]","[-0.548,0.273]","[0.093,0.427]"
gdp,0.970***,0.517***,1.458***,0.377***
,"[0.536,1.404]","[0.233,0.802]","[0.607,2.309]","[0.186,0.567]"
fin,-0.145*,0.250*,-0.006,0.013
,"[-0.317,0.028]","[-0.009,0.509]","[-0.471,0.460]","[-0.101,0.126]"
stru,-0.274,-0.235,-0.961,-0.312
,"[-1.693,1.144]","[-1.101,0.631]","[-4.559,2.637]","[-0.953,0.329]"
wage,-0.933***,-0.111,-0.214,-0.198
,"[-1.584,-0.282]","[-0.395,0.172]","[-1.695,1.268]","[-0.450,0.054]"
gov,-0.311***,0.003,0.058,-0.032*
,"[-0.452,-0.170]","[-0.030,0.035]","[-0.332,0.449]","[-0.066,0.002]"
human,0.075*,0.123***,-0.004,0.091***
,"[-0.013,0.164]","[0.032,0.214]","[-0.096,0.087]","[0.027,0.156]"
pubservice,0.583*,0.028,0.524,0.014
,"[-0.039,1.205]","[-0.236,0.292]","[-0.678,1.726]","[-0.277,0.304]"
_cons,-9.135*,-6.358**,-24.437***,-2.330
,"[-20.007,1.737]","[-11.188,-1.527]","[-42.158,-6.715]","[-6.846,2.186]"
N,1600,2944,576,3968
r2_a,0.816,0.659,0.814,0.698
