,(1),(2),(3),(4)
,Simple ATT,Group ATT,Calendar ATT,Event ATT
ATT,0.250*,,,
,"[-0.016,0.516]",,,
,,,,
GAverage,,0.224*,,
,,"[-0.040,0.488]",,
,,,,
CAverage,,,0.222*,
,,,"[-0.002,0.447]",
,,,,
Pre_avg,,,,0.019
,,,,"[-0.007,0.045]"
,,,,
Post_avg,,,,0.270*
,,,,"[-0.018,0.557]"
