,(1),(2),(3)
,w11-SDM,w22-SDM,w33-SDM
Main,,,
did,0.227***,0.218***,0.187***
,"[0.161,0.294]","[0.147,0.289]","[0.116,0.257]"
LR_Direct,,,
did,0.268***,0.294***,0.214***
,"[0.196,0.340]","[0.207,0.380]","[0.141,0.287]"
LR_Indirect,,,
did,0.526***,19.397***,0.758***
,"[0.325,0.728]","[6.505,32.290]","[0.518,0.998]"
LR_Total,,,
did,0.794***,19.691***,0.972***
,"[0.558,1.031]","[6.752,32.630]","[0.711,1.234]"
N,4544,4544,4544
r2,0.118,0.036,0.186
