,entreact
DID（N0）,0.256***
,"[0.104,0.408]"
N100,0.335**
,"[0.081,0.589]"
N200,0.090*
,"[-0.008,0.189]"
N300,0.005
,"[-0.105,0.115]"
N400,-0.067
,"[-0.175,0.042]"
N500,-0.024
,"[-0.127,0.079]"
gdp,0.584***
,"[0.361,0.807]"
fin,0.124
,"[-0.041,0.288]"
stru,-0.809**
,"[-1.531,-0.086]"
wage,-0.180
,"[-0.441,0.081]"
gov,-0.023
,"[-0.059,0.014]"
human,0.001***
,"[0.000,0.002]"
pubservice,0.218
,"[-0.075,0.511]"
_cons,-6.972***
,"[-11.646,-2.297]"
N,4544
r2,0.768
